,loss,loss,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,train,valid,train,valid,train,valid,train,valid,train,valid
epoch-1,0.09504815,0.06270749666948665,0.9375,0.9817708333333334,0.9672395833333333,0.9938280520541544,0.9375,0.9817708333333334,0.9389161706349206,0.9809594710674676
epoch-2,0.012547737,0.022860581847520305,0.9953125,0.9928768382352942,0.9984375,0.9971673304738561,0.9953125,0.9928768382352942,0.9954166666666666,0.9928286718727896
epoch-3,0.006770252,0.0005707988462358001,1.0,0.9998085171568627,1.0,0.9999329810049019,1.0,0.9998085171568627,1.0,0.9998212826797385
epoch-4,0.0059377165,0.00021904481178032536,1.0,0.9999234068627451,1.0,0.9999617034313726,1.0,0.9999234068627451,1.0,0.9999131944444445
epoch-5,0.0011095847,0.0016600385814731266,1.0,0.9991957720588235,1.0,0.9997861774918301,1.0,0.9991957720588235,1.0,0.9992289624183006
epoch-6,0.00042561453,4.108661635628119e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epoch-7,0.0023219923,0.00023938211520641315,1.0,0.9999234068627451,1.0,0.9999553206699348,1.0,0.9999234068627451,1.0,0.9998953227124183
epoch-8,0.000608381,4.769410682043956e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epoch-9,0.0001958389,1.727117566606048e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epoch-10,0.00023008394,1.7817380219329097e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
